model,accuracy,f1_score,AUC,hyperparameters
RandomForestClassifier_CountVectorizer_WE1_VP,"[0.8057142857142857, 0.7942857142857143, 0.8157142857142857, 0.7919047619047619, 0.8061904761904762, 0.8142857142857143, 0.8, 0.820952380952381, 0.7961904761904762, 0.7995238095238095]","[0.7984189723320159, 0.7865612648221344, 0.8090774543660583, 0.7829110779930452, 0.7984150569588906, 0.8051948051948052, 0.7935103244837758, 0.812375249500998, 0.7876984126984127, 0.7937285644292014]","[0.86081179138322, 0.8549895691609977, 0.8606947845804989, 0.8611464852607709, 0.8706430839002268, 0.873697052154195, 0.867297052154195, 0.8866412698412698, 0.8543977324263038, 0.8607850340136054]","[{'clf__bootstrap': True, 'clf__criterion': 'log_loss', 'clf__max_depth': 60, 'clf__n_estimators': 1200}, {'clf__bootstrap': True, 'clf__criterion': 'log_loss', 'clf__max_depth': 20, 'clf__n_estimators': 1200}, {'clf__bootstrap': True, 'clf__criterion': 'entropy', 'clf__max_depth': None, 'clf__n_estimators': 1000}, {'clf__bootstrap': False, 'clf__criterion': 'entropy', 'clf__max_depth': 40, 'clf__n_estimators': 1000}, {'clf__bootstrap': False, 'clf__criterion': 'entropy', 'clf__max_depth': 40, 'clf__n_estimators': 1000}, {'clf__bootstrap': True, 'clf__criterion': 'entropy', 'clf__max_depth': 60, 'clf__n_estimators': 1200}, {'clf__bootstrap': True, 'clf__criterion': 'entropy', 'clf__max_depth': 40, 'clf__n_estimators': 1200}, {'clf__bootstrap': False, 'clf__criterion': 'entropy', 'clf__max_depth': 60, 'clf__n_estimators': 1000}, {'clf__bootstrap': True, 'clf__criterion': 'entropy', 'clf__max_depth': None, 'clf__n_estimators': 800}, {'clf__bootstrap': True, 'clf__criterion': 'log_loss', 'clf__max_depth': None, 'clf__n_estimators': 1000}]"
RandomForestClassifier_CountVectorizer_WE1,"[0.6385714285714286, 0.6347619047619047, 0.6195238095238095, 0.6352380952380953, 0.6433333333333333, 0.6576190476190477, 0.6233333333333333, 0.6533333333333333, 0.63, 0.6157142857142858]","[0.650713299585826, 0.6540369869192603, 0.6339899221255153, 0.6524500907441017, 0.6540415704387991, 0.6745133544590313, 0.6454504706409682, 0.6675799086757991, 0.65015758667267, 0.630325240494732]","[0.688027664399093, 0.6935768707482993, 0.6713668934240363, 0.6852879818594104, 0.6952689342403628, 0.7198049886621315, 0.6716480725623581, 0.7056888888888888, 0.6764371882086169, 0.6646648526077098]","[{'clf__bootstrap': False, 'clf__criterion': 'log_loss', 'clf__max_depth': None, 'clf__n_estimators': 1200}, {'clf__bootstrap': True, 'clf__criterion': 'log_loss', 'clf__max_depth': None, 'clf__n_estimators': 800}, {'clf__bootstrap': True, 'clf__criterion': 'log_loss', 'clf__max_depth': 60, 'clf__n_estimators': 800}, {'clf__bootstrap': False, 'clf__criterion': 'entropy', 'clf__max_depth': 60, 'clf__n_estimators': 1200}, {'clf__bootstrap': False, 'clf__criterion': 'log_loss', 'clf__max_depth': 40, 'clf__n_estimators': 1200}, {'clf__bootstrap': False, 'clf__criterion': 'log_loss', 'clf__max_depth': None, 'clf__n_estimators': 1200}, {'clf__bootstrap': False, 'clf__criterion': 'log_loss', 'clf__max_depth': 20, 'clf__n_estimators': 800}, {'clf__bootstrap': False, 'clf__criterion': 'log_loss', 'clf__max_depth': 40, 'clf__n_estimators': 1000}, {'clf__bootstrap': False, 'clf__criterion': 'log_loss', 'clf__max_depth': None, 'clf__n_estimators': 800}, {'clf__bootstrap': True, 'clf__criterion': 'entropy', 'clf__max_depth': 60, 'clf__n_estimators': 800}]"
RandomForestClassifier_CountVectorizer_VP,"[0.8042857142857143, 0.7980952380952381, 0.8119047619047619, 0.7985714285714286, 0.8057142857142857, 0.8104761904761905, 0.8014285714285714, 0.810952380952381, 0.8023809523809524, 0.8095238095238095]","[0.7925290257445734, 0.7838939857288482, 0.8018063221274461, 0.7831881086622245, 0.7922606924643585, 0.7977642276422764, 0.785824345146379, 0.7946197620279358, 0.7890188103711235, 0.8005982053838484]","[0.8699990929705216, 0.8599283446712017, 0.8778834467120182, 0.8730993197278911, 0.8682902494331066, 0.8790535147392291, 0.878615873015873, 0.8772861678004535, 0.8631115646258504, 0.8630893424036281]","[{'clf__bootstrap': False, 'clf__criterion': 'log_loss', 'clf__max_depth': 60, 'clf__n_estimators': 1000}, {'clf__bootstrap': True, 'clf__criterion': 'log_loss', 'clf__max_depth': None, 'clf__n_estimators': 1000}, {'clf__bootstrap': False, 'clf__criterion': 'log_loss', 'clf__max_depth': None, 'clf__n_estimators': 1200}, {'clf__bootstrap': False, 'clf__criterion': 'log_loss', 'clf__max_depth': 60, 'clf__n_estimators': 1000}, {'clf__bootstrap': True, 'clf__criterion': 'log_loss', 'clf__max_depth': None, 'clf__n_estimators': 1000}, {'clf__bootstrap': False, 'clf__criterion': 'entropy', 'clf__max_depth': None, 'clf__n_estimators': 800}, {'clf__bootstrap': True, 'clf__criterion': 'log_loss', 'clf__max_depth': 60, 'clf__n_estimators': 1000}, {'clf__bootstrap': False, 'clf__criterion': 'entropy', 'clf__max_depth': 20, 'clf__n_estimators': 800}, {'clf__bootstrap': False, 'clf__criterion': 'log_loss', 'clf__max_depth': None, 'clf__n_estimators': 1200}, {'clf__bootstrap': False, 'clf__criterion': 'entropy', 'clf__max_depth': None, 'clf__n_estimators': 800}]"
RandomForestClassifier_CountVectorizer,"[0.6247619047619047, 0.6466666666666666, 0.6142857142857143, 0.6461904761904762, 0.6585714285714286, 0.6557142857142857, 0.6323809523809524, 0.6419047619047619, 0.6457142857142857, 0.6147619047619047]","[0.6552930883639545, 0.6734154929577465, 0.6481320590790617, 0.643302928468555, 0.6806236080178174, 0.6844172850283718, 0.6655112651646448, 0.6690140845070423, 0.6460513796384396, 0.6386779812416258]","[0.6805124716553288, 0.7107437641723356, 0.682477097505669, 0.7158693877551021, 0.7189714285714285, 0.7360643990929705, 0.6948861678004534, 0.7013197278911565, 0.6952993197278912, 0.6809351473922902]","[{'clf__bootstrap': True, 'clf__criterion': 'log_loss', 'clf__max_depth': 40, 'clf__n_estimators': 800}, {'clf__bootstrap': True, 'clf__criterion': 'log_loss', 'clf__max_depth': 60, 'clf__n_estimators': 800}, {'clf__bootstrap': True, 'clf__criterion': 'entropy', 'clf__max_depth': 40, 'clf__n_estimators': 1200}, {'clf__bootstrap': True, 'clf__criterion': 'entropy', 'clf__max_depth': None, 'clf__n_estimators': 800}, {'clf__bootstrap': True, 'clf__criterion': 'log_loss', 'clf__max_depth': 60, 'clf__n_estimators': 1200}, {'clf__bootstrap': True, 'clf__criterion': 'entropy', 'clf__max_depth': 60, 'clf__n_estimators': 1200}, {'clf__bootstrap': True, 'clf__criterion': 'log_loss', 'clf__max_depth': 60, 'clf__n_estimators': 800}, {'clf__bootstrap': True, 'clf__criterion': 'entropy', 'clf__max_depth': 40, 'clf__n_estimators': 1200}, {'clf__bootstrap': False, 'clf__criterion': 'log_loss', 'clf__max_depth': None, 'clf__n_estimators': 800}, {'clf__bootstrap': True, 'clf__criterion': 'entropy', 'clf__max_depth': 60, 'clf__n_estimators': 1000}]"
CalibratedClassifierCV_TfidfVectorizer_WE2_VP,"[0.7980952380952381, 0.7985714285714286, 0.8014285714285714, 0.7971428571428572, 0.8052380952380952, 0.8042857142857143, 0.8028571428571428, 0.8261904761904761, 0.799047619047619, 0.8057142857142857]","[0.7963496637848223, 0.7939600584510472, 0.8009546539379475, 0.7938044530493708, 0.8025108643167552, 0.7986281234688878, 0.7996127783155856, 0.8223844282238443, 0.7951456310679612, 0.8034682080924855]","[0.8569006802721089, 0.8639682539682538, 0.8624272108843537, 0.856833560090703, 0.866053514739229, 0.8754566893424036, 0.865494784580499, 0.8817070294784579, 0.8499165532879818, 0.8646222222222222]","[{'clf__estimator__C': 1, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 1, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'squared_hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 1, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 1, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 1, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'squared_hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 1, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 1, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 1, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}]"
CalibratedClassifierCV_TfidfVectorizer_WE2,"[0.6333333333333333, 0.6523809523809524, 0.6309523809523809, 0.6414285714285715, 0.6338095238095238, 0.6638095238095238, 0.6390476190476191, 0.6542857142857142, 0.6304761904761905, 0.628095238095238]","[0.6308724832214765, 0.6614100185528757, 0.6311280342693956, 0.6456470588235295, 0.6381176470588236, 0.6644486692015209, 0.646784715750233, 0.6526315789473685, 0.6377217553688141, 0.6286257727056586]","[0.687265306122449, 0.7043056689342404, 0.6904625850340136, 0.6986866213151928, 0.6920172335600907, 0.7283646258503402, 0.6873859410430838, 0.7048371882086167, 0.6866331065759637, 0.6859238095238095]","[{'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 1, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}]"
CalibratedClassifierCV_CountVectorizer_WE2_VP,"[0.7666666666666667, 0.7795238095238095, 0.81, 0.7704761904761904, 0.7914285714285715, 0.799047619047619, 0.7776190476190477, 0.800952380952381, 0.7742857142857142, 0.7947619047619048]","[0.7662213740458015, 0.7764365041042974, 0.8064046579330422, 0.771780303030303, 0.7879961277831559, 0.7957405614714425, 0.7779362815026153, 0.7958984375, 0.7736389684813754, 0.792289156626506]","[0.8242557823129253, 0.8350421768707482, 0.8561433106575964, 0.8258276643990929, 0.8482603174603174, 0.8522938775510204, 0.8427528344671201, 0.8614512471655329, 0.8251183673469387, 0.8529215419501134]","[{'clf__estimator__C': 0.5, 'clf__estimator__loss': 'squared_hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'squared_hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 4000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'squared_hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 4000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'squared_hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'squared_hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'squared_hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}]"
CalibratedClassifierCV_CountVectorizer_WE2,"[0.6090476190476191, 0.6238095238095238, 0.6233333333333333, 0.6223809523809524, 0.63, 0.6357142857142857, 0.6114285714285714, 0.6352380952380953, 0.6090476190476191, 0.6290476190476191]","[0.6266484765802638, 0.6460573476702509, 0.6409441670449387, 0.6350667280257708, 0.6469786460699682, 0.6479521398987574, 0.6402116402116402, 0.6549549549549549, 0.6303466906798739, 0.6441297396071265]","[0.6594358276643991, 0.6779709750566894, 0.6765460317460318, 0.6669514739229025, 0.6677496598639456, 0.6922666666666667, 0.6694131519274377, 0.6693106575963719, 0.6522884353741496, 0.6713242630385486]","[{'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'squared_hinge', 'clf__estimator__max_iter': 4000}, {'clf__estimator__C': 1, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 4000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'squared_hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'squared_hinge', 'clf__estimator__max_iter': 2000}, {'clf__estimator__C': 0.5, 'clf__estimator__loss': 'hinge', 'clf__estimator__max_iter': 2000}]"
RandomForestClassifier_TfidfVectorizer_WE2_VP,"[0.8061904761904762, 0.8038095238095239, 0.8157142857142857, 0.7923809523809524, 0.8142857142857143, 0.8176190476190476, 0.8052380952380952, 0.820952380952381, 0.7933333333333333, 0.8047619047619048]","[0.8013665202537823, 0.7952286282306164, 0.810757946210269, 0.7858546168958742, 0.807502467917078, 0.81123706259241, 0.7980246913580247, 0.8133068520357497, 0.7853610286844708, 0.8009708737864077]","[0.8638866213151927, 0.8623746031746032, 0.8671569160997733, 0.86340589569161, 0.8686684807256235, 0.8789111111111111, 0.8733351473922901, 0.8871356009070295, 0.8524634920634921, 0.8654195011337869]","[{'clf__bootstrap': False, 'clf__criterion': 'entropy', 'clf__max_depth': 20, 'clf__n_estimators': 1000}, {'clf__bootstrap': False, 'clf__criterion': 'log_loss', 'clf__max_depth': 40, 'clf__n_estimators': 1000}, {'clf__bootstrap': False, 'clf__criterion': 'log_loss', 'clf__max_depth': None, 'clf__n_estimators': 1000}, {'clf__bootstrap': False, 'clf__criterion': 'log_loss', 'clf__max_depth': 40, 'clf__n_estimators': 1200}, {'clf__bootstrap': False, 'clf__criterion': 'entropy', 'clf__max_depth': None, 'clf__n_estimators': 1000}, {'clf__bootstrap': True, 'clf__criterion': 'entropy', 'clf__max_depth': None, 'clf__n_estimators': 800}, {'clf__bootstrap': True, 'clf__criterion': 'entropy', 'clf__max_depth': 40, 'clf__n_estimators': 1200}, {'clf__bootstrap': False, 'clf__criterion': 'log_loss', 'clf__max_depth': 40, 'clf__n_estimators': 1000}, {'clf__bootstrap': True, 'clf__criterion': 'entropy', 'clf__max_depth': 60, 'clf__n_estimators': 1200}, {'clf__bootstrap': False, 'clf__criterion': 'log_loss', 'clf__max_depth': None, 'clf__n_estimators': 800}]"
RandomForestClassifier_TfidfVectorizer_WE2,"[0.6457142857142857, 0.6395238095238095, 0.6319047619047619, 0.6419047619047619, 0.6304761904761905, 0.659047619047619, 0.6328571428571429, 0.6523809523809524, 0.6338095238095238, 0.6204761904761905]","[0.6529850746268657, 0.6496992133271634, 0.6429561200923788, 0.6559926806953339, 0.6427255985267035, 0.6724611161939615, 0.6445366528354081, 0.6623496762257169, 0.6444752658344891, 0.6287843502561714]","[0.6906839002267574, 0.7056780045351474, 0.6890312925170068, 0.6991891156462585, 0.6948190476190476, 0.7202140589569161, 0.701902947845805, 0.7174195011337868, 0.6922195011337868, 0.6771192743764172]","[{'clf__bootstrap': True, 'clf__criterion': 'log_loss', 'clf__max_depth': None, 'clf__n_estimators': 1200}, {'clf__bootstrap': True, 'clf__criterion': 'entropy', 'clf__max_depth': 60, 'clf__n_estimators': 800}, {'clf__bootstrap': False, 'clf__criterion': 'entropy', 'clf__max_depth': None, 'clf__n_estimators': 800}, {'clf__bootstrap': True, 'clf__criterion': 'log_loss', 'clf__max_depth': 60, 'clf__n_estimators': 1000}, {'clf__bootstrap': False, 'clf__criterion': 'entropy', 'clf__max_depth': 20, 'clf__n_estimators': 800}, {'clf__bootstrap': True, 'clf__criterion': 'log_loss', 'clf__max_depth': 20, 'clf__n_estimators': 800}, {'clf__bootstrap': False, 'clf__criterion': 'entropy', 'clf__max_depth': 60, 'clf__n_estimators': 1200}, {'clf__bootstrap': False, 'clf__criterion': 'log_loss', 'clf__max_depth': 60, 'clf__n_estimators': 1200}, {'clf__bootstrap': False, 'clf__criterion': 'log_loss', 'clf__max_depth': 60, 'clf__n_estimators': 800}, {'clf__bootstrap': True, 'clf__criterion': 'log_loss', 'clf__max_depth': 60, 'clf__n_estimators': 800}]"
RandomForestClassifier_CountVectorizer_WE2_VP,"[0.8023809523809524, 0.8028571428571428, 0.8104761904761905, 0.7933333333333333, 0.8085714285714286, 0.8180952380952381, 0.8023809523809524, 0.8238095238095238, 0.7933333333333333, 0.799047619047619]","[0.7958681751106739, 0.793, 0.8041338582677166, 0.7845084409136047, 0.800990099009901, 0.809, 0.7948591201186357, 0.815, 0.783, 0.7931372549019607]","[0.8591473922902494, 0.864659410430839, 0.866087074829932, 0.8612816326530613, 0.8649188208616779, 0.8764036281179138, 0.8701333333333333, 0.8895882086167801, 0.851481179138322, 0.8624208616780045]","[{'clf__bootstrap': True, 'clf__criterion': 'entropy', 'clf__max_depth': 60, 'clf__n_estimators': 1000}, {'clf__bootstrap': False, 'clf__criterion': 'log_loss', 'clf__max_depth': 60, 'clf__n_estimators': 800}, {'clf__bootstrap': False, 'clf__criterion': 'log_loss', 'clf__max_depth': None, 'clf__n_estimators': 1200}, {'clf__bootstrap': True, 'clf__criterion': 'log_loss', 'clf__max_depth': 40, 'clf__n_estimators': 1200}, {'clf__bootstrap': True, 'clf__criterion': 'entropy', 'clf__max_depth': 40, 'clf__n_estimators': 800}, {'clf__bootstrap': False, 'clf__criterion': 'entropy', 'clf__max_depth': 40, 'clf__n_estimators': 1000}, {'clf__bootstrap': True, 'clf__criterion': 'log_loss', 'clf__max_depth': 40, 'clf__n_estimators': 1000}, {'clf__bootstrap': False, 'clf__criterion': 'log_loss', 'clf__max_depth': None, 'clf__n_estimators': 1200}, {'clf__bootstrap': True, 'clf__criterion': 'entropy', 'clf__max_depth': None, 'clf__n_estimators': 1200}, {'clf__bootstrap': False, 'clf__criterion': 'entropy', 'clf__max_depth': 40, 'clf__n_estimators': 800}]"
RandomForestClassifier_CountVectorizer_WE2,"[0.6295238095238095, 0.6409523809523809, 0.6157142857142858, 0.6252380952380953, 0.6290476190476191, 0.6552380952380953, 0.6352380952380953, 0.6452380952380953, 0.6242857142857143, 0.611904761904762]","[0.6440988106129918, 0.6603603603603604, 0.6320109439124487, 0.6408032861706983, 0.6473517428700769, 0.6735798016230838, 0.655884995507637, 0.6596619460941069, 0.6434704021690013, 0.6273433927754916]","[0.6816108843537414, 0.6977133786848072, 0.6715900226757369, 0.6854648526077097, 0.6841714285714287, 0.7116507936507936, 0.688843537414966, 0.7080172335600907, 0.6763011337868481, 0.6655673469387755]","[{'clf__bootstrap': True, 'clf__criterion': 'log_loss', 'clf__max_depth': None, 'clf__n_estimators': 800}, {'clf__bootstrap': True, 'clf__criterion': 'entropy', 'clf__max_depth': 60, 'clf__n_estimators': 800}, {'clf__bootstrap': True, 'clf__criterion': 'entropy', 'clf__max_depth': 60, 'clf__n_estimators': 1000}, {'clf__bootstrap': False, 'clf__criterion': 'entropy', 'clf__max_depth': None, 'clf__n_estimators': 800}, {'clf__bootstrap': True, 'clf__criterion': 'log_loss', 'clf__max_depth': 60, 'clf__n_estimators': 1000}, {'clf__bootstrap': True, 'clf__criterion': 'entropy', 'clf__max_depth': 60, 'clf__n_estimators': 1000}, {'clf__bootstrap': False, 'clf__criterion': 'log_loss', 'clf__max_depth': 60, 'clf__n_estimators': 800}, {'clf__bootstrap': False, 'clf__criterion': 'log_loss', 'clf__max_depth': 60, 'clf__n_estimators': 1000}, {'clf__bootstrap': False, 'clf__criterion': 'log_loss', 'clf__max_depth': 60, 'clf__n_estimators': 1200}, {'clf__bootstrap': True, 'clf__criterion': 'entropy', 'clf__max_depth': 60, 'clf__n_estimators': 1200}]"
